timeEnterLink,timeOnLink,vehID,pathID,linkID,linkSequenceInPath
23440.8,0.8,5,0,11833,7
23441.6,16.0,5,0,10136,8
23458.4,0.8,5,0,11762,9
23459.2,4.799999999999272,5,0,10138,10
23464.8,7.200000000000728,5,0,10736,11
23472.8,0.8,5,0,18184,12
23474.4,3.1999999999970896,5,0,10142,13
23478.4,0.8,5,0,11295,14
23479.2,4.0,5,0,9132,15
23484.0,0.8,5,0,11301,16
23484.8,3.2000000000007276,5,0,9146,17
23488.8,0.8,5,0,11216,18
23489.6,9.600000000002183,5,0,8930,19
23500.0,0.8,5,0,11177,20
23500.8,9.600000000002183,5,0,9173,21
23511.2,0.8,5,0,11336,22
23512.0,7.200000000000728,5,0,9169,23
23520.0,0.8,5,0,11321,24
23521.6,4.0,5,0,8823,25
23526.4,0.8,5,0,10917,26
23528.0,4.799999999999272,5,0,8786,27
23533.6,0.8000000000029104,5,0,11239,28
23535.2,3.2000000000007276,5,0,8884,29
23539.2,0.8,5,0,11199,30
23540.0,0.8,5,0,8912,31
23541.6,0.8000000000029104,5,0,10760,32
23543.2,16.799999999999272,5,0,10191,33
23560.8,1.6000000000021828,5,0,11282,34
23563.2,4.0,5,0,20290,35
23568.0,0.8,5,0,11984,36
23568.8,4.799999999999272,5,0,10586,37
23574.4,0.8,5,0,11656,38
23576.0,6.400000000001455,5,0,8091,39
23583.2,0.8,5,0,11354,40
23584.8,6.0,5,0,9261,41
23402.8,2.0,6,0,8426,0
23405.6,0.8,6,0,10962,1
23406.4,0.8,6,0,8421,2
23407.2,0.8,6,0,10961,3
23408.0,7.200000000000728,6,0,8420,4
23416.0,2.400000000001455,6,0,11363,5
23419.2,70.39999999999782,6,0,9458,6
23490.4,1.5999999999985448,6,0,11361,7
23492.8,20.799999999999272,6,0,10322,8
23514.4,0.8,6,0,11365,9
23516.0,3.2000000000007276,6,0,9381,10
23520.0,0.8,6,0,11129,11
23520.8,4.0,6,0,8741,12
23525.6,0.8,6,0,11434,13
23526.4,3.1999999999970896,6,0,8496,14
23530.4,0.8,6,0,12042,15
23531.2,0.8,6,0,10696,16
23532.0,0.8,6,0,11378,17
23532.8,3.2000000000007276,6,0,9550,18
23536.8,0.8,6,0,11500,19
23537.6,3.2000000000007276,6,0,8486,20
23541.6,0.8,6,0,11505,21
23542.4,0.8,6,0,9567,22
23543.2,0.8,6,0,11498,23
23544.0,2.400000000001455,6,0,9572,24
23547.2,0.8,6,0,11499,25
23548.8,48.0,6,0,9554,26
23597.6,2.400000000001455,6,0,11323,27
23600.8,8.0,6,0,8555,28
