did,oid,eid,sid,ent,count,count_D,flow,flow_D,speed,speed_D,spdh,spdh_D,ttime,ttime_D,dtime,dtime_D,wtimeVQ,wtimeVQ_D,travel,travel_D,traveltime,traveltime_D,stime,stime_D,nstops,nstops_D
24296,25259,,1,1,1.0,-1.0,4.0,-1.0,40.1774277090032,-1.0,40.1774277090032,0.0,12.0178448374681,-1.0,0.0,-1.0,0.0,-1.0,0.134123914493164,-1.0,12.0178448374681,-1.0,0.0,-1.0,0.0,-1.0
24296,25260,,1,1,18.0,-1.0,72.0,-1.0,39.3739283354798,6.52469290988349,38.1311416101069,6.883957917968,17.3679661051124,3.58285322185756,2.04710990666018,2.9236856973294,0.0,0.0,3.31106243890863,-1.0,312.623389892023,-1.0,0.933333333333333,2.48856207004579,0.166666666666667,-1.0
24296,25261,,1,1,32.0,-1.0,128.0,-1.0,39.8913737653356,7.17042266378361,38.5511900963373,7.18788392975024,7.45829422175725,1.47750444826236,1.71890440061204,1.38000079471942,0.0,0.0,2.55487224382797,-1.0,238.665415096232,-1.0,0.05,0.282842712474619,0.03125,-1.0
24296,25262,,1,1,2.0,-1.0,8.0,-1.0,41.9367238126208,1.4095123346912,41.9130366377413,0.996394213436133,38.7304566787758,1.19336025749507,1.03902140159773,0.299019279016613,0.0,0.0,0.901881909373978,-1.0,77.4609133575516,-1.0,0.0,0.0,0.0,-1.0
24296,20361,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23447,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23448,,2,1,1.0,-1.0,4.0,-1.0,41.0104305906746,-1.0,41.0104305906746,0.0,11.9117893670463,-1.0,2.30648882168639,-1.0,0.0,-1.0,0.135696558624441,-1.0,11.9117893670463,-1.0,0.0,-1.0,0.0,-1.0
24296,23449,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23450,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23451,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23452,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
24296,23453,,2,1,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,,
