did,oid,sid,origin,destination,entranceSection,generationTime,entranceTime,exitTime,expectedTravelTime,delayTime,travelledDistance,pathType
24296,1496,53,8009,7996,0,786.136,24186.1,24245.8,0.0,11.3192,669.296,
24296,1497,53,7863,7859,0,786.695,24186.7,-1.0,0.0,30.8178,1238.08,
24296,1498,53,7873,7860,0,787.283,24187.3,24226.8,0.0,9.10873,530.944,
24296,1499,53,7862,7930,0,787.64,24187.6,-1.0,0.0,1.05682,2279.04,
24296,1500,53,7867,7955,0,788.071,24188.1,24269.2,0.0,18.3692,1099.13,
24296,1501,53,7949,7996,0,788.482,24188.5,-1.0,0.0,63.8607,651.423,
24296,1502,53,7861,7862,0,788.837,24188.8,24282.2,0.0,6.78425,1944.63,
24296,1503,53,7927,7860,0,789.003,24189.0,-1.0,0.0,61.966,851.722,
24296,1504,53,7867,8023,0,789.121,24189.3,-1.0,0.0,14.9873,1373.8,
24296,1505,53,7862,7993,0,790.142,24190.1,-1.0,0.0,1.1898,1794.79,
24296,1506,53,7917,7925,0,790.473,24190.5,24217.3,0.0,3.99744,318.069,
24296,1507,53,7859,7878,0,791.767,24191.8,-1.0,0.0,11.5595,1372.03,
24296,1508,53,7867,7957,0,792.139,24192.1,-1.0,0.0,21.6206,1543.69,
24296,1509,53,7860,7877,0,793.43,24193.4,24285.2,0.0,40.9347,896.696,
24296,1510,53,7877,8009,0,794.174,24194.2,-1.0,0.0,35.5503,1322.05,
24296,1511,53,7862,8018,0,794.636,24194.6,24291.9,0.0,29.0607,1353.13,
24296,1512,53,7898,7860,0,795.175,24195.2,-1.0,0.0,37.9111,1082.81,
24296,1513,53,7986,7928,0,795.223,24195.2,-1.0,0.0,65.7626,599.606,
24296,1514,53,7898,7925,0,795.402,24195.4,24245.9,0.0,18.5019,473.554,
24296,1515,53,7944,7939,0,797.078,24197.1,24261.1,0.0,26.957,514.406,
24296,1516,53,7988,7991,0,797.193,24197.2,24296.2,0.0,73.7947,403.542,
24296,1517,53,7862,7929,0,797.547,24197.5,-1.0,0.0,2.80996,2417.14,
24296,1518,53,7860,7988,0,797.826,24197.8,-1.0,0.0,26.4685,1200.85,
24296,1519,53,7960,7869,0,797.985,24198.0,-1.0,0.0,6.90016,701.931,
24296,1520,53,7862,7875,0,798.228,24198.2,-1.0,0.0,1.32396,2306.73,
24296,1521,56,7859,7873,0,798.726,24198.7,24268.4,0.0,10.8684,1004.77,
24296,1522,53,7988,7925,0,799.297,24199.3,24271.7,0.0,30.8329,631.386,
24296,1523,53,7860,7948,0,799.714,24199.7,-1.0,0.0,37.239,1232.76,
24296,1524,53,7938,7944,0,800.961,24201.0,24287.4,0.0,46.2897,652.289,
24296,1525,53,7862,8009,0,802.361,24202.4,-1.0,0.0,3.31456,2070.12,
24296,1526,53,7941,7907,0,803.446,24203.4,-1.0,0.0,2.16558,753.962,
24296,1527,53,7859,7980,0,804.171,24204.2,-1.0,0.0,3.31896,1581.66,
24296,1528,53,7879,7869,0,804.176,24204.2,-1.0,0.0,19.1687,1076.74,
24296,1529,53,7944,7938,0,804.256,24204.3,24265.4,0.0,22.9069,640.447,
24296,1530,53,7867,7955,0,805.167,24205.2,24276.0,0.0,4.57125,1103.93,
24296,1531,53,7859,7906,0,805.689,24205.7,-1.0,0.0,4.75743,1497.41,
24296,1532,53,7947,7861,0,805.808,24205.8,-1.0,0.0,42.6166,861.553,
24296,1533,53,7859,7871,0,806.519,24206.5,24253.0,0.0,4.91733,699.194,
24296,1534,53,7867,7866,0,806.642,24206.6,24245.3,0.0,0.719295,671.284,
24296,1535,53,7862,7860,0,806.867,24206.9,-1.0,0.0,0.935364,1937.53,
24296,1536,56,7974,7862,0,807.449,24207.4,-1.0,0.0,17.3789,1108.08,
24296,1537,53,7862,8002,0,808.327,24208.7,-1.0,0.0,3.87725,1727.95,
24296,1538,53,7990,8001,0,808.391,24208.4,-1.0,0.0,72.7196,320.773,
24296,1539,53,7867,7976,0,808.577,24208.6,-1.0,0.0,2.61823,1369.92,
24296,1540,53,7867,7955,0,809.98,24210.0,24277.9,0.0,13.4744,1101.77,
24296,1541,56,7867,7959,0,810.993,24211.0,-1.0,0.0,22.6063,1121.25,
24296,1542,56,7860,7948,0,811.142,24211.1,-1.0,0.0,26.5614,1034.02,
24296,1543,53,7862,8025,0,812.735,24212.7,24297.0,0.0,5.64535,1557.78,
24296,1544,53,7944,7862,0,813.075,24213.1,-1.0,0.0,60.8222,386.78,
24296,1545,53,7859,7871,0,813.898,24213.9,24260.0,0.0,3.33573,689.843,
24296,1546,53,7934,7907,0,815.503,24215.5,-1.0,0.0,22.5433,977.522,
24296,1547,53,7860,7956,0,815.734,24215.7,-1.0,0.0,14.4015,856.21,
24296,1548,53,7957,7869,0,815.804,24215.8,-1.0,0.0,8.3292,919.648,
24296,1549,53,7859,7980,0,817.426,24217.4,-1.0,0.0,3.0785,1379.82,
24296,1550,53,7879,7869,0,817.428,24217.4,-1.0,0.0,8.68508,1038.09,
24296,1551,53,7900,7859,0,817.827,24217.8,-1.0,0.0,25.0599,798.578,
24296,1552,53,7912,7919,0,817.969,24218.0,-1.0,0.0,5.86882,643.61,
